Names,Score
A. St. Brown Det - WR,15.3
B. Aiyuk SF - WR,18.6
B. Cooks Hou - WR,20.1
C. Claypool Pit - WR,17.5
C. Godwin TB - WR,22.5
C. Kupp LAR - WR,34.3
"C. Patterson Atl - WR,RB",13.9
D. Byrd Chi - WR,18.6
D. Johnson Pit - WR,15.3
D. Mooney Chi - WR,2.9
E. Sanders Buf - WR,3.5
F. Swain Sea - WR,0.3
G. Davis Buf - WR,15.3
H. Renfrow LV - WR,30.7
J. Chase Cin - WR,25.3
J. Grant Sr. Chi - WR,21.1
J. Jefferson Min - WR,20.5
J. Jeudy Den - WR,9.7
J. Reynolds Det - WR,8.2
K. Golladay NYG - WR,3.5
K. Raymond Det - WR,13.1
L. Shenault Jr. Jax - WR,7.4
L. Treadwell Jax - WR,11.8
M. Brown Bal - WR,9.1
M. Evans TB - WR,21.1
M. Gallup Dal - WR,11
M. Williams LAC - WR,12.1
O. Beckham Jr. LAR - WR,20.7
R. Gage Atl - WR,10.4
S. Diggs Buf - WR,14.4
T. Higgins Cin - WR,18.4
T. Lockett Sea - WR,32.2
T. Smith NO - WR,6.3
V. Jefferson Jr. LAR - WR,17.8
Z. Jones LV - WR,5.5
